fecha,hora,consumo,met_obtencion,datetime
2022-04-22,3,0.04,Real,2022-04-22 03:00:00
2022-04-22,4,0.061,Real,2022-04-22 04:00:00
2022-04-22,5,0.138,Real,2022-04-22 05:00:00
2022-04-22,6,0.045,Real,2022-04-22 06:00:00
2022-04-22,7,0.044,Real,2022-04-22 07:00:00
2022-04-22,8,0.063,Real,2022-04-22 08:00:00
2022-04-22,9,0.116,Real,2022-04-22 09:00:00
2022-04-22,10,1.193,Real,2022-04-22 10:00:00
2022-04-22,11,0.15,Real,2022-04-22 11:00:00
2022-04-22,12,0.186,Real,2022-04-22 12:00:00
2022-04-22,13,0.451,Real,2022-04-22 13:00:00
2022-04-22,14,0.097,Real,2022-04-22 14:00:00
2022-04-22,15,0.943,Real,2022-04-22 15:00:00
2022-04-22,16,0.266,Real,2022-04-22 16:00:00
2022-04-22,17,0.23,Real,2022-04-22 17:00:00
2022-04-22,18,0.22,Real,2022-04-22 18:00:00
2022-04-22,19,0.092,Real,2022-04-22 19:00:00
2022-04-22,20,0.195,Real,2022-04-22 20:00:00
2022-04-22,21,1.064,Real,2022-04-22 21:00:00
2022-04-22,22,0.337,Real,2022-04-22 22:00:00
2022-04-22,23,0.036,Real,2022-04-22 23:00:00
2022-04-22,24,0.036,Real,2022-04-23 00:00:00
2022-04-23,1,0.034,Real,2022-04-23 01:00:00
2022-04-23,2,0.035,Real,2022-04-23 02:00:00
2022-04-23,3,0.034,Real,2022-04-23 03:00:00
2022-04-23,4,0.034,Real,2022-04-23 04:00:00
2022-04-23,5,0.033,Real,2022-04-23 05:00:00
2022-04-23,6,0.034,Real,2022-04-23 06:00:00
2022-04-23,7,0.034,Real,2022-04-23 07:00:00
2022-04-23,8,0.033,Real,2022-04-23 08:00:00
2022-04-23,9,0.033,Real,2022-04-23 09:00:00
2022-04-23,10,0.033,Real,2022-04-23 10:00:00
2022-04-23,11,0.033,Real,2022-04-23 11:00:00
2022-04-23,12,0.033,Real,2022-04-23 12:00:00
2022-04-23,13,0.034,Real,2022-04-23 13:00:00
2022-04-23,14,0.034,Real,2022-04-23 14:00:00
2022-04-23,15,0.035,Real,2022-04-23 15:00:00
2022-04-23,16,0.036,Real,2022-04-23 16:00:00
2022-04-23,17,0.035,Real,2022-04-23 17:00:00
2022-04-23,18,0.035,Real,2022-04-23 18:00:00
2022-04-23,19,0.033,Real,2022-04-23 19:00:00
2022-04-23,20,0.033,Real,2022-04-23 20:00:00
2022-04-23,21,0.033,Real,2022-04-23 21:00:00
2022-04-23,22,0.032,Real,2022-04-23 22:00:00
2022-04-23,23,0.033,Real,2022-04-23 23:00:00
2022-04-23,24,0.033,Real,2022-04-24 00:00:00
2022-04-24,1,0.033,Real,2022-04-24 01:00:00
2022-04-24,2,0.032,Real,2022-04-24 02:00:00
2022-04-24,3,0.033,Real,2022-04-24 03:00:00
2022-04-24,4,0.033,Real,2022-04-24 04:00:00
2022-04-24,5,0.034,Real,2022-04-24 05:00:00
2022-04-24,6,0.035,Real,2022-04-24 06:00:00
2022-04-24,7,0.035,Real,2022-04-24 07:00:00
2022-04-24,8,0.035,Real,2022-04-24 08:00:00
2022-04-24,9,0.035,Real,2022-04-24 09:00:00
2022-04-24,10,0.034,Real,2022-04-24 10:00:00
2022-04-24,11,0.032,Real,2022-04-24 11:00:00
2022-04-24,12,0.032,Real,2022-04-24 12:00:00
2022-04-24,13,0.083,Real,2022-04-24 13:00:00
2022-04-24,14,2.369,Real,2022-04-24 14:00:00
2022-04-24,15,0.236,Real,2022-04-24 15:00:00
2022-04-24,16,0.967,Real,2022-04-24 16:00:00
2022-04-24,17,0.255,Real,2022-04-24 17:00:00
2022-04-24,18,0.163,Real,2022-04-24 18:00:00
2022-04-24,19,0.224,Real,2022-04-24 19:00:00
2022-04-24,20,0.321,Real,2022-04-24 20:00:00
2022-04-24,21,0.19,Real,2022-04-24 21:00:00
2022-04-24,22,0.164,Real,2022-04-24 22:00:00
2022-04-24,23,0.169,Real,2022-04-24 23:00:00
2022-04-24,24,0.152,Real,2022-04-25 00:00:00
2022-04-25,1,0.063,Real,2022-04-25 01:00:00
2022-04-25,2,0.036,Real,2022-04-25 02:00:00
2022-04-25,3,0.036,Real,2022-04-25 03:00:00
2022-04-25,4,0.036,Real,2022-04-25 04:00:00
2022-04-25,5,0.041,Real,2022-04-25 05:00:00
2022-04-25,6,0.041,Real,2022-04-25 06:00:00
2022-04-25,7,0.063,Real,2022-04-25 07:00:00
2022-04-25,8,0.036,Real,2022-04-25 08:00:00
2022-04-25,9,0.072,Real,2022-04-25 09:00:00
2022-04-25,10,0.232,Real,2022-04-25 10:00:00
2022-04-25,11,0.102,Real,2022-04-25 11:00:00
2022-04-25,12,0.224,Real,2022-04-25 12:00:00
2022-04-25,13,0.145,Real,2022-04-25 13:00:00
2022-04-25,14,0.708,Real,2022-04-25 14:00:00
2022-04-25,15,0.928,Real,2022-04-25 15:00:00
2022-04-25,16,1.003,Real,2022-04-25 16:00:00
2022-04-25,17,0.095,Real,2022-04-25 17:00:00
2022-04-25,18,0.113,Real,2022-04-25 18:00:00
2022-04-25,19,0.068,Real,2022-04-25 19:00:00
2022-04-25,20,0.067,Real,2022-04-25 20:00:00
2022-04-25,21,0.924,Real,2022-04-25 21:00:00
2022-04-25,22,0.231,Real,2022-04-25 22:00:00
2022-04-25,23,0.251,Real,2022-04-25 23:00:00
2022-04-25,24,0.157,Real,2022-04-26 00:00:00
2022-04-26,1,0.102,Real,2022-04-26 01:00:00
2022-04-26,2,0.163,Real,2022-04-26 02:00:00
2022-04-26,3,0.075,Real,2022-04-26 03:00:00
2022-04-26,4,0.065,Real,2022-04-26 04:00:00
2022-04-26,5,0.064,Real,2022-04-26 05:00:00
2022-04-26,6,0.058,Real,2022-04-26 06:00:00
2022-04-26,7,0.063,Real,2022-04-26 07:00:00
2022-04-26,8,0.102,Real,2022-04-26 08:00:00
2022-04-26,9,0.144,Real,2022-04-26 09:00:00
2022-04-26,10,0.271,Real,2022-04-26 10:00:00
2022-04-26,11,0.13,Real,2022-04-26 11:00:00
2022-04-26,12,0.182,Real,2022-04-26 12:00:00
2022-04-26,13,0.141,Real,2022-04-26 13:00:00
2022-04-26,14,0.882,Real,2022-04-26 14:00:00
